country,type,weekday,year,month,day,localtime,timeofday
usa,Underground,Friday,1957,7,26,1:00:00,Night
usa,Atmospheric,Wednesday,1957,8,7,5:25:00,Night
usa,Underground,Saturday,1957,8,10,17:59:55,Afternoon
usa,Atmospheric,Sunday,1957,8,18,5:00:00,Night
usa,Atmospheric,Friday,1957,8,23,5:30:00,Night
usa,Underground,Tuesday,1957,8,27,15:35:00,Afternoon
usa,Atmospheric,Friday,1957,8,30,5:40:00,Night
usa,Atmospheric,Saturday,1957,8,31,5:30:00,Night
usa,Atmospheric,Monday,1957,9,2,5:40:00,Night
usa,Atmospheric,Friday,1957,9,6,5:45:00,Night
usa,Atmospheric,Friday,1957,9,6,13:05:01,Afternoon
usa,Atmospheric,Sunday,1957,9,8,6:00:00,Morning
usa,Atmospheric,Saturday,1957,9,14,9:45:00,Morning
usa,Atmospheric,Monday,1957,9,16,5:50:00,Night
usa,Underground,Thursday,1957,9,19,9:59:59,Morning
usa,Atmospheric,Monday,1957,9,23,5:30:00,Night
usa,Atmospheric,Saturday,1957,9,28,6:00:00,Morning
usa,Atmospheric,Monday,1957,10,7,5:00:00,Night
usa,Underground,Friday,1957,12,6,12:15:00,Afternoon
usa,Atmospheric,Monday,1957,12,9,12:00:00,Afternoon
usa,Underground,Saturday,1958,2,22,17:00:00,Afternoon
usa,Underground,Friday,1958,3,14,14:00:00,Afternoon
usa,Atmospheric,Monday,1958,4,28,19:40:00,Evening
usa,Atmospheric,Monday,1958,5,5,11:15:00,Morning
usa,Atmospheric,Sunday,1958,5,11,10:50:00,Morning
usa,Atmospheric,Sunday,1958,5,11,11:15:00,Morning
usa,Atmospheric,Monday,1958,5,12,11:30:00,Morning
usa,Underwater,Friday,1958,5,16,18:30:01,Evening
usa,Atmospheric,Tuesday,1958,5,20,11:30:00,Morning
usa,Atmospheric,Wednesday,1958,5,21,14:20:00,Afternoon
usa,Atmospheric,Monday,1958,5,26,11:00:00,Morning
usa,Atmospheric,Monday,1958,5,26,19:00:00,Evening
usa,Atmospheric,Friday,1958,5,30,19:15:00,Evening
usa,Atmospheric,Saturday,1958,5,31,20:00:00,Evening
usa,Atmospheric,Monday,1958,6,2,11:45:00,Morning
usa,Underwater,Sunday,1958,6,8,11:15:00,Morning
usa,Atmospheric,Tuesday,1958,6,10,10:30:00,Morning
usa,Atmospheric,Saturday,1958,6,14,10:30:00,Morning
usa,Atmospheric,Saturday,1958,6,14,11:30:00,Morning
usa,Atmospheric,Wednesday,1958,6,18,20:00:00,Evening
usa,Atmospheric,Friday,1958,6,27,10:30:00,Morning
usa,Atmospheric,Friday,1958,6,27,11:30:00,Morning
