country,date,type,shot,yield,iodine131-released
usa,2/22/1958,Underground,Venus,0,0
usa,3/14/1958,Underground,Uranus,0,0
usa,4/28/1958,Atmospheric,Yucca,2,250
usa,5/5/1958,Atmospheric,Cactus,18,2646
usa,5/11/1958,Atmospheric,Fir,1360,199920
usa,5/11/1958,Atmospheric,Butternut,81,11907
usa,5/12/1958,Atmospheric,Koa,1370,201390
usa,5/16/1958,Underwater,Wahoo,9,0
usa,5/20/1958,Atmospheric,Holly,6,867
usa,5/21/1958,Atmospheric,Nutmeg,25,3690
usa,5/26/1958,Atmospheric,Yellowwood,330,48510
usa,5/26/1958,Atmospheric,Magnolia,57,8379
usa,5/30/1958,Atmospheric,Tobacco,12,1705
usa,5/31/1958,Atmospheric,Sycamore,92,13524
usa,6/2/1958,Atmospheric,Rose,15,2205
usa,6/8/1958,Underwater,Umbrella,8,1176
usa,6/10/1958,Atmospheric,Maple,213,31311
usa,6/14/1958,Atmospheric,Aspen,319,46893
usa,6/14/1958,Atmospheric,Walnut,1450,213150
usa,6/18/1958,Atmospheric,Linden,11,1617
usa,6/27/1958,Atmospheric,Redwood,412,60564
usa,6/27/1958,Atmospheric,Elder,880,129360
usa,6/28/1958,Atmospheric,Oak,8900,1308300
usa,6/29/1958,Atmospheric,Hickory,14,2058
usa,7/1/1958,Atmospheric,Sequoia,5,764
usa,7/2/1958,Atmospheric,Cedar,220,32340
usa,7/5/1958,Atmospheric,Dogwood,397,58359
usa,7/12/1958,Atmospheric,Poplar,9300,1367100
usa,7/14/1958,Atmospheric,Scaevola,0,0
usa,7/17/1958,Atmospheric,Pisonia,255,37485
usa,7/22/1958,Atmospheric,Juniper,65,9555
usa,7/22/1958,Atmospheric,Olive,202,29694
usa,7/26/1958,Atmospheric,Pine,2000,294000
usa,8/1/1958,Atmospheric,Teak,3800,558600
usa,8/6/1958,Atmospheric,Quince,0,0
usa,8/12/1958,Atmospheric,Orange,3800,558600
usa,8/18/1958,Atmospheric,Fig,0,3
usa,8/27/1958,Atmospheric,Argus I,2,221
usa,8/30/1958,Atmospheric,Argus II,2,221
usa,9/6/1958,Atmospheric,Argus III,2,221
usa,9/12/1958,Underground,Otero,0,6
usa,9/17/1958,Underground,Bernalillo,0,0
usa,9/19/1958,Atmospheric,Eddy,0,12
usa,9/21/1958,Underground,Luna,0,0
usa,9/23/1958,Underground,Mercury,0,0
