country,type,weekday,year,month,day,date,localtime,date-localtime,timeofday,ISO8601Time
ussr,Atmospheric,Tuesday,1953,9,8,9/8/1953,3:00:00,9/8/1953 3:00:00,Night,1953-09-08
ussr,Atmospheric,Thursday,1953,9,10,9/10/1953,3:00:00,9/10/1953 3:00:00,Night,1953-09-10
uk,Atmospheric,Wednesday,1953,10,14,10/14/1953,21:30,10/14/1953 21:30:00,Evening,1953-10-14
uk,Atmospheric,Monday,1953,10,26,10/26/1953,21:30,10/26/1953 21:30:00,Evening,1953-10-26
usa,Atmospheric,Sunday,1954,2,28,2/28/1954,10:45:00,2/28/1954 10:45:00,Morning,1954-02-28
usa,Atmospheric,Friday,1954,3,26,3/26/1954,10:30:00,3/26/1954 10:30:00,Morning,1954-03-26
usa,Atmospheric,Tuesday,1954,4,6,4/6/1954,10:20:00,4/6/1954 10:20:00,Morning,1954-04-06
usa,Atmospheric,Sunday,1954,4,25,4/25/1954,11:10:01,4/25/1954 11:10:01,Morning,1954-04-25
usa,Atmospheric,Tuesday,1954,5,4,5/4/1954,11:10:00,5/4/1954 11:10:00,Morning,1954-05-04
usa,Atmospheric,Thursday,1954,5,13,5/13/1954,11:20:00,5/13/1954 11:20:00,Morning,1954-05-13
ussr,Atmospheric,Tuesday,1954,9,14,9/14/1954,9:33:00,9/14/1954 9:33:00,Morning,1954-09-14
ussr,Atmospheric,Wednesday,1954,9,29,9/29/1954,3:00:00,9/29/1954 3:00:00,Night,1954-09-29
ussr,Atmospheric,Friday,1954,10,1,10/1/1954,3:00:00,10/1/1954 3:00:00,Night,1954-10-01
ussr,Atmospheric,Sunday,1954,10,3,10/3/1954,3:00:00,10/3/1954 3:00:00,Night,1954-10-03
ussr,Atmospheric,Tuesday,1954,10,5,10/5/1954,6:00:00,10/5/1954 6:00:00,Morning,1954-10-05
ussr,Atmospheric,Friday,1954,10,8,10/8/1954,3:00:00,10/8/1954 3:00:00,Night,1954-10-08
ussr,Atmospheric,Tuesday,1954,10,19,10/19/1954,3:00:00,10/19/1954 3:00:00,Night,1954-10-19
ussr,Atmospheric,Saturday,1954,10,23,10/23/1954,3:00:00,10/23/1954 3:00:00,Night,1954-10-23
ussr,Atmospheric,Tuesday,1954,10,26,10/26/1954,3:00:00,10/26/1954 3:00:00,Night,1954-10-26
ussr,Atmospheric,Saturday,1954,10,30,10/30/1954,7:00:00,10/30/1954 7:00:00,Morning,1954-10-30
